claim,evidence,label,claim_clean,evidence_clean,combined_text
The deregulated and prolonged activation of monocytes improves inflammatory disease outcomes.,,0,deregulated prolonged activation monocyte improves inflammatory disease outcome,,deregulated prolonged activation monocyte improves inflammatory disease outcome 
The effect of Lipopolysaccharides on kidney barrier function is dependent on inflammation levels.,,0,effect lipopolysaccharides kidney barrier function dependent inflammation level,,effect lipopolysaccharides kidney barrier function dependent inflammation level 
The first MBT repeat of the four malignant brain tumor (4MBT) domain of Drosophila's Sfmbt and of the orthologous mammalian L3MBTL2 is required for the interaction with the spacer region of Drosophila's Pleiohomeotic (Pho) or its human ortholog YY1.,,0,first mbt repeat four malignant brain tumor mbt domain drosophila sfmbt orthologous mammalian lmbtl required interaction spacer region drosophila pleiohomeotic pho human ortholog yy,,first mbt repeat four malignant brain tumor mbt domain drosophila sfmbt orthologous mammalian lmbtl required interaction spacer region drosophila pleiohomeotic pho human ortholog yy 
"The gene daf-16, which encodes forkhead Box O (FOXO), is required for all phenotypes associated with reduced insulin/insulin-like growth factor (Igf) signaling.",,0,gene daf encodes forkhead box foxo required phenotype associated reduced insulininsulinlike growth factor igf signaling,,gene daf encodes forkhead box foxo required phenotype associated reduced insulininsulinlike growth factor igf signaling 
The generation of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.,The oncogenic BCR/ABL tyrosine kinase induces constitutive DNA damage in Philadelphia chromosome (Ph)-positive leukemia cells.,1,generation reactive oxygen specie activated oncogene contributes increased genomic instability leukaemia cell,oncogenic bcrabl tyrosine kinase induces constitutive dna damage philadelphia chromosome phpositive leukemia cell,generation reactive oxygen specie activated oncogene contributes increased genomic instability leukaemia cell oncogenic bcrabl tyrosine kinase induces constitutive dna damage philadelphia chromosome phpositive leukemia cell
The generation of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.,We find that BCR/ABL-induced reactive oxygen species (ROSs) cause chronic oxidative DNA damage resulting in double-strand breaks (DSBs) in S and G(2)/M cell cycle phases.,1,generation reactive oxygen specie activated oncogene contributes increased genomic instability leukaemia cell,find bcrablinduced reactive oxygen specie ross cause chronic oxidative dna damage resulting doublestrand break dsbs gm cell cycle phase,generation reactive oxygen specie activated oncogene contributes increased genomic instability leukaemia cell find bcrablinduced reactive oxygen specie ross cause chronic oxidative dna damage resulting doublestrand break dsbs gm cell cycle phase
The generation of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.,We propose that the following series of events may contribute to genomic instability of Ph-positive leukemias: BCR/ABL --> ROSs --> oxidative DNA damage --> DSBs in proliferating cells --> unfaithful HRR and NHEJ repair.,1,generation reactive oxygen specie activated oncogene contributes increased genomic instability leukaemia cell,propose following series event may contribute genomic instability phpositive leukemia bcrabl ross oxidative dna damage dsbs proliferating cell unfaithful hrr nhej repair,generation reactive oxygen specie activated oncogene contributes increased genomic instability leukaemia cell propose following series event may contribute genomic instability phpositive leukemia bcrabl ross oxidative dna damage dsbs proliferating cell unfaithful hrr nhej repair
The innate immune response struggles to remove small numbers of parasites.,Our analysis showed that the capacity of innate responses to restrict initial parasite growth saturates with parasite dose and that experimentally enhanced innate immunity can affect parasite density indirectly via resource depletion.,0,innate immune response struggle remove small number parasite,analysis showed capacity innate response restrict initial parasite growth saturates parasite dose experimentally enhanced innate immunity affect parasite density indirectly via resource depletion,innate immune response struggle remove small number parasite analysis showed capacity innate response restrict initial parasite growth saturates parasite dose experimentally enhanced innate immunity affect parasite density indirectly via resource depletion
The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,Microarray-based studies of HCMV have provided useful information about genes that are transcriptionally active during both productive and latent phases of infection.,1,latent infection myeloid cell human cytomegalovirus induces number change gene expression,microarraybased study hcmv provided useful information gene transcriptionally active productive latent phase infection,latent infection myeloid cell human cytomegalovirus induces number change gene expression microarraybased study hcmv provided useful information gene transcriptionally active productive latent phase infection
The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,We found that HCMV significantly up-regulated 583 (5.2%) of the total genes and down-regulated 621 (5.5%) of the total genes>or=1.5-fold at 4 h postinfection.,1,latent infection myeloid cell human cytomegalovirus induces number change gene expression,found hcmv significantly upregulated total gene downregulated total genesorfold h postinfection,latent infection myeloid cell human cytomegalovirus induces number change gene expression found hcmv significantly upregulated total gene downregulated total genesorfold h postinfection
